id,house_value,house_age,household_size,vacant_units,population,income,age_population,postgrads,no_hs,diversity_index,unemployment,employed_technology,dist_landfills,dist_airports,dist_libraries,dist_supermarkets,dist_malls,dist_police,dist_hospitals,dist_universities,dist_schools,dist_parks,dist_coast,latitude,longitude
60730026021,664894,1964,3.45,14,1232,63879,32,1.54,13.07,88.8,7.42,0,12.89,10.17,1.21,5.51,1.41,1.26,5.51,3.22,0.34,0.41,6.51,32.74,-117.1
60730026022,642500,1984,3.48,20,1284,69729,33.8,3.04,7.94,85.2,0,4.55,12.5,10.62,1.41,5.32,1.6,1.49,5.93,3.03,0.7,0.74,6.67,32.74,-117.09
60730027021,1020833,1968,2.77,31,1446,78321,32.6,6.02,1.94,87,6.54,12.15,8.92,13.74,2.13,1.82,0.67,2.32,2.72,1.02,0.86,0.92,9.91,32.76,-117.07
60730027022,815120,1955,2.59,12,1403,113442,36.6,16.68,0,87.3,6.05,7.57,9.05,13.69,2.53,2.41,1.19,2.91,3.21,1.45,0.85,0.98,9.56,32.75,-117.07
60379010071,358264,1971,3.06,22,1079,81198,37.3,5,6.58,82.5,1.72,1.97,5.59,12.39,3.33,8.64,1.63,8.68,6.08,3.2,0.16,0.93,75.57,34.65,-118.19
60379010072,1009494,1995,2.76,24,955,116927,51,18.01,0,77.3,4.41,5.38,3.99,10.5,5.2,7.68,1.56,7.45,5.11,2.95,1.84,0.73,76.26,34.65,-118.17
60379011011,357341,1969,2.85,46,2504,80332,34.9,8.11,2.16,81.5,4.1,2.85,8.92,15.85,1.97,11.34,2.34,11.02,8.31,4.81,1.15,0.65,74.86,34.66,-118.22
60379011021,339091,1992,3.1,29,2059,85112,37.6,10.68,1.99,84,2.29,4.07,6.96,13.9,1.93,9.55,1.33,9.91,7.24,3.94,1.71,1.93,74.95,34.65,-118.21
60379011022,386441,1976,2.72,24,1419,84199,36.8,4.79,1.62,78.8,1.21,1.38,7.86,14.83,1.4,10.25,1.84,10.63,7.93,4.51,1.43,1.16,74.67,34.65,-118.21
60371374021,1263850,1965,2.56,20,2223,131985,51.2,19.61,0.49,51.2,6.23,0.54,2.71,16.67,2.52,2.53,1.55,9.62,4.38,6.51,1.14,1.23,12.74,34.15,-118.62
60371374022,1211538,1963,2.88,25,1386,160437,47,27.92,0,53.3,3.96,7.21,3.54,16.99,2.11,1.86,0.74,9.29,4.67,6.27,0.3,1.87,13.27,34.16,-118.63
60371375012,1368304,1985,2.16,80,1937,110614,37.4,27.21,0,67.5,5.89,3.85,4.33,11.27,3.88,1.83,2.83,4.9,1.66,2.47,0.69,1.25,13.95,34.17,-118.58
60730029042,565789,1977,2.3,55,1604,40637,26.5,4.43,0,86.6,8.26,0.74,7.51,15.17,0.44,1.29,1.06,2.1,1.08,0.7,0.24,0.04,11.35,32.77,-117.06
60730032082,656780,1980,3.46,1,837,100092,37.2,0,1.67,85.3,6.62,0,11.44,16.51,2.24,9.48,4.13,2.67,4.03,5.3,0.62,0.35,7.02,32.68,-117.05
60730032084,572704,1983,3.58,16,917,111755,39.7,15.27,0,84,10.54,0,10.54,15.61,2.21,8.75,3.89,3.43,4.56,6.11,0.58,0.32,7.3,32.68,-117.04
60730032085,1008439,1976,2.94,20,1995,83837,39.5,5.91,4.06,89.3,0,2.27,10.1,15.2,1.84,8.77,3.28,4.03,4.48,6.3,0.29,0.34,7.07,32.68,-117.05
60730032091,646186,1981,3.05,16,2517,76371,37.2,3.54,3.62,78.7,9.23,2.21,11.6,16.63,1.97,9.15,4.3,2.22,4.65,5.62,0.34,0.74,7.59,32.69,-117.04
60730032092,639535,1984,2.96,18,1579,91928,35.3,7.03,2.34,90.5,10.19,4.93,10.64,15.66,2.33,8.29,4.49,3.14,5.19,6.48,0.21,0,7.91,32.68,-117.04
60730032093,606250,1982,3.48,16,1152,113820,35.2,8.94,1.39,88.8,3.37,1.83,10.33,15.38,2.26,8.33,4.17,3.5,5,6.49,0.34,0.22,7.67,32.68,-117.04
60379201112,678510,1977,2.77,2,1418,114464,45.2,12.98,1.9,72.1,5.18,4.45,5.93,33.5,5.47,3.68,2.14,7.59,7.87,4.92,0.63,0.57,46.13,34.45,-118.54
